Factor,legend.low,legend.high,HSV,RGB,R,G,B,Hex,Swatch
PPT,301,400,"185,19,93","192,233,237",192,233,237,C0E9ED,
PPT,401,500,"188,24,89","172,220,227",172,220,227,ACDCE3,
PPT,501,600,"190,29,85","154,206,217",154,206,217,9ACED9,
PPT,601,700,"192,33,81","138,193,207",138,193,207,8AC1CF,
PPT,701,800,"194,38,77","122,179,196",122,179,196,7AB3C4,
PPT,801,900,"196,43,73","106,165,186",106,165,186,6AA5BA,
PPT,901,1000,"198,48,69","91,151,176",91,151,176,5B97B0,
PPT,1001,1100,"200,52,65","80,137,166",80,137,166,5089A6,
PPT,1101,1200,"202,57,61","67,123,156",67,123,156,437B9C,
PPT,1201,1300,"204,62,57","55,109,145",55,109,145,376D91,
PPT,1301,1400,"206,66,53","46,96,135",46,96,135,2E6087,
PPT,1401,1500,"208,71,49","36,84,125",36,84,125,24547D,
PPT,1501,1600,"210,76,45","28,71,115",28,71,115,1C4773,
PPT,1601,1700,"212,81,41","20,59,105",20,59,105,143B69,
PPT,1701,1800,"214,85,37","14,49,94",14,49,94,0E315E,
PPT,1801,1900,"216,90,33","8,39,84",8,39,84,082754,
PPT,1901,2000,"219,95,29","4,28,74",4,28,74,041C4A,
PPT,2001,2100,"220,100,25","0,21,64",0,21,64,001540,
PPT,2101,2200,"222,100,25","0,19,64",0,19,64,001340,
PPT,2201,2300,"255,90,33","27,8,84",27,8,84,1B0854,
PPT,2301,2400,"260,87,35","36,12,89",36,12,89,240C59,
PPT,2401,2500,"265,85,40","51,15,102",51,15,102,330F66,
PPT,2501,2600,"270,80,42","64,21,107",64,21,107,40156B,
PPT,2601,2700,"272,75,50","83,32,128",83,32,128,532080,
PPT,2701,2800,"285,60,60","130,61,153",130,61,153,823D99,
RUNRCH,0,50,"201,25,100","191,233,255",191,233,255,BFE9FF,
RUNRCH,51,100,"212,28,100","184,217,255",184,217,255,B8D9FF,
RUNRCH,101,150,"222,31,100","176,200,255",176,200,255,B0C8FF,
RUNRCH,151,200,"228,34,100","168,186,255",168,186,255,A8BAFF,
RUNRCH,201,250,"234,38,100","158,168,255",158,168,255,9EA8FF,
RUNRCH,251,300,"239,42,100","148,150,255",148,150,255,9496FF,
RUNRCH,301,350,"241,46,100","140,138,255",140,138,255,8C8AFF,
RUNRCH,351,400,"244,52,100","131,122,255",131,122,255,837AFF,
RUNRCH,401,450,"245,58,99","118,106,252",118,106,252,766AFC,
RUNRCH,451,500,"246,62,99","112,96,252",112,96,252,7060FC,
RUNRCH,501,550,"246,68,99","98,81,252",98,81,252,6251FC,
RUNRCH,551,600,"246,73,98","86,67,250",86,67,250,5643FA,
RUNRCH,601,650,"246,78,98","74,55,250",74,55,250,4A37FA,
RUNRCH,651,700,"245,84,97","57,40,247",57,40,247,3928F7,
RUNRCH,701,750,"244,89,97","42,27,247",42,27,247,2A1BF7,
RUNRCH,751,800,"240,100,96","0,0,245",0,0,245,0000F5,
RUNRCH,801,850,"250,100,93","40,0,237",40,0,237,2800ED,
RUNRCH,851,900,"255,100,90","57,0,230",57,0,230,3900E6,
RUNRCH,901,950,"259,100,87","70,0,222",70,0,222,4600DE,
RUNRCH,951,1000,"264,100,83","85,0,212",85,0,212,5500D4,
RUNRCH,1001,1050,"268,100,81","96,0,207",96,0,207,6000CF,
RUNRCH,1051,1100,"272,100,77","105,0,196",105,0,196,6900C4,
RUNRCH,1101,1150,"276,100,75","115,0,191",115,0,191,7300BF,
RUNRCH,1151,1200,"280,100,72","122,0,184",122,0,184,7A00B8,
RUNRCH,1201,1250,"285,100,69","132,0,176",132,0,176,8400B0,
RUNRCH,1251,1300,"289,100,66","137,0,168",137,0,168,8900A8,
RUNRCH,1301,1350,"294,100,63","145,0,161",145,0,161,9100A1,
RUNRCH,1351,1400,"299,100,60","150,0,153",150,0,153,960099,
RUNRCH,1401,1450,"304,100,61","156,0,145",156,0,145,9C0091,
RUNRCH,1451,1500,"309,100,64","163,0,139",163,0,139,A3008B,
RUNRCH,1501,1550,"313,100,66","168,0,132",168,0,132,A80084,
